# Table 5. Genetic distance between population pairs. Pairwise FST (upper diagonal) and G’ST (lower diagonal) values for the natural populations of P. globosa and outgroups.
# Column definitions: Fst/G'st=row population compared against column population; Upper diagonal=pairwise FST values; Lower diagonal=pairwise G'st values

Fst/G’st,Pgl346_IN,Pgl347_KY,Pgl348_EXS,Pgl349_KY,Pgl350_KY,Pgl351_KY,Pgl352_KY,Pgl353_EXS,Pgl354_KY,Pgl355_EXS,Pgl356_TNE,Pgl357_TNE,Pgl358_TNW,Pgl359_TNW,PoAR1,PoAR2,PoAR3,PfMO10,PfMO11,PfMO6,PgrTX1
Pgl346_IN,,0.331,0.288,0.272,0.265,0.268,0.28,0.46,0.512,0.456,0.398,0.492,0.428,0.534,0.558,0.556,0.518,0.537,0.473,0.516,0.405
Pgl347_KY,0.647,,0.244,0.17,0.15,0.195,0.209,0.41,0.439,0.402,0.345,0.413,0.336,0.505,0.595,0.549,0.508,0.517,0.446,0.484,0.372
Pgl348_EXS,0.594,0.555,,0.192,0.175,0.229,0.19,0.395,0.406,0.399,0.346,0.407,0.345,0.475,0.521,0.499,0.47,0.466,0.424,0.449,0.34
Pgl349_KY,0.585,0.416,0.474,,0.129,0.218,0.185,0.386,0.416,0.362,0.311,0.394,0.302,0.458,0.487,0.475,0.415,0.435,0.372,0.411,0.336
Pgl350_KY,0.585,0.378,0.441,0.348,,0.167,0.104,0.37,0.391,0.339,0.286,0.355,0.285,0.428,0.504,0.475,0.437,0.412,0.377,0.412,0.325
Pgl351_KY,0.537,0.427,0.516,0.518,0.407,,0.248,0.398,0.431,0.374,0.313,0.42,0.327,0.44,0.566,0.533,0.512,0.496,0.439,0.471,0.374
Pgl352_KY,0.555,0.477,0.446,0.468,0.271,0.558,,0.414,0.46,0.395,0.347,0.421,0.348,0.516,0.552,0.522,0.483,0.473,0.399,0.459,0.346
Pgl353_EXS,0.838,0.786,0.798,0.815,0.8,0.785,0.812,,0.387,0.336,0.317,0.328,0.355,0.467,0.608,0.563,0.564,0.536,0.49,0.529,0.454
Pgl354_KY,0.914,0.824,0.806,0.864,0.831,0.835,0.885,0.684,,0.34,0.347,0.398,0.383,0.418,0.595,0.578,0.556,0.555,0.505,0.541,0.473
Pgl355_EXS,0.877,0.841,0.865,0.828,0.792,0.787,0.852,0.64,0.633,,0.048,0.311,0.318,0.333,0.58,0.559,0.518,0.516,0.462,0.499,0.397
Pgl356_TNE,0.814,0.778,0.799,0.757,0.71,0.698,0.803,0.638,0.683,0.102,,0.313,0.254,0.347,0.53,0.509,0.485,0.454,0.415,0.447,0.364
Pgl357_TNE,0.901,0.802,0.829,0.841,0.776,0.834,0.836,0.591,0.707,0.595,0.634,,0.422,0.487,0.606,0.59,0.547,0.52,0.482,0.504,0.456
Pgl358_TNW,0.805,0.696,0.751,0.702,0.681,0.688,0.744,0.654,0.687,0.634,0.55,0.783,,0.361,0.626,0.585,0.533,0.525,0.484,0.514,0.396
Pgl359_TNW,0.9,0.881,0.899,0.904,0.872,0.814,0.931,0.778,0.687,0.593,0.659,0.819,0.592,,0.703,0.653,0.648,0.598,0.561,0.595,0.507
PoAR1,0.916,1.005,0.977,0.954,1.032,1.018,0.988,0.933,0.928,0.981,0.948,0.995,0.987,0.953,,0.065,0.327,0.722,0.603,0.617,0.47
PoAR2,0.894,0.938,0.949,0.923,0.965,0.988,0.928,0.897,0.886,0.957,0.93,0.979,0.949,0.913,0.106,,0.227,0.689,0.607,0.564,0.449
PoAR3,0.972,1.019,0.93,1,1.043,0.957,1.007,0.959,0.949,1.02,0.971,0.959,0.964,0.99,0.418,0.476,,0.639,0.544,0.528,0.434
PfMO10,0.967,0.974,0.958,0.976,0.971,0.997,0.959,0.961,0.957,0.991,0.951,0.947,1.005,0.953,1.047,0.976,1.013,,0.057,0.387,0.375
PfMO11,0.943,1.003,0.968,0.944,0.969,0.966,0.936,0.885,0.935,0.955,0.918,0.914,0.976,0.913,1.061,1.007,0.996,0.209,,0.324,0.355
PfMO6,0.958,1.007,0.992,0.975,0.998,0.984,0.99,0.941,0.935,0.983,0.934,0.922,0.983,0.946,0.955,0.95,0.922,0.787,0.607,,0.367
PgrTX1,0.862,1.014,0.871,0.984,0.964,0.928,0.982,0.954,0.98,0.917,0.923,0.975,0.956,0.989,0.932,0.877,0.99,0.876,1.054,0.939,
